L,N,K,Ratio,Success Rate
3,100,3,0.13873694679264048,0.0
3,100,3,0.135498687664042,0.0
3,100,3,0.016688971109186806,0.0
3,100,3,0.022222222222222223,0.0
3,100,3,0.03145933014354067,0.0
3,100,3,0.043883619996785084,0.0
3,100,3,0.02947202521670607,0.0
3,100,3,0.1780821917808219,0.0
3,100,3,0.05456,0.0
3,100,3,0.08622147083685545,0.0
3,100,3,0.09780334728033473,0.0
3,100,3,0.16048755713560184,0.0
3,100,3,0.05287807825955582,0.0
3,100,3,0.016546087888531617,0.0
3,100,3,0.019490726186733733,0.0
3,100,3,0.020267070745335732,0.0
3,100,3,0.07976424361493124,0.0
3,100,3,0.1057153530070975,0.0
3,100,3,0.03241519794526614,0.0
3,100,3,0.01133350662854172,0.0
3,100,3,0.07736389684813753,0.0
3,100,3,0.028252642568184785,0.0
3,100,3,0.0413266649118189,0.0
3,100,3,0.04706298655343241,0.0
3,100,3,0.03076417779724108,0.0
3,100,3,0.04475491356855316,0.0
3,100,3,0.0225181123947523,0.0
3,100,3,0.05981283059812831,0.0
3,100,3,0.03317710902812038,0.0
3,100,3,0.07662409772348695,0.0
3,100,3,0.028442240373395565,0.0
3,100,3,0.049499229583975346,0.0
3,100,3,0.050729874259286024,0.0
3,100,3,0.08103521425540942,0.0
3,100,3,0.04728132387706856,0.0
3,100,3,0.055313159746657285,0.0
3,100,3,0.057276198557488334,0.0
3,100,3,0.05072620854107956,0.0
3,100,3,0.04899817850637523,0.0
3,100,3,0.041962089422659526,0.0
3,100,3,0.1824884792626728,0.0
3,100,3,0.03261593077435101,0.0
3,100,3,0.032987171655467315,0.0
3,100,3,0.01221292977565379,0.0
3,100,3,0.056451612903225805,0.0
3,100,3,0.05235470941883767,0.0
3,100,3,0.18057921635434412,0.0
3,100,3,0.020216314565854644,0.0
3,100,3,0.034161490683229816,0.0
3,100,3,0.05589506632881204,0.0
3,100,3,0.07315306615161758,0.0
3,100,3,0.0625243474873393,0.0
3,100,3,0.13903240958196336,0.0
3,100,3,0.1107919573245794,0.0
